,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal,Time,Species,address,Latitude,Longitude
2132,Summer 1948,1948.0,Provoked,USA,Florida,Biscayne Bay,Photoshooting,grabbed shark by the tail & it bit him provoked incident,No,Afternoon,nurse shark,"Biscayne Bay,Florida,USA",25.5659397,-80.2164388
2133,Nov-1947,1947.0,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,other,fatal,Yes,,,"Moreton Bay,Queensland,AUSTRALIA",-27.2397819,153.2539994
2134,10-Oct-1947,1947.0,Unprovoked,BRAZIL,Pernambuco,Piedade,swimming,fatal,Yes,,,"Piedade,Pernambuco,BRAZIL",-8.1760585,-34.917877
2135,Reported 27-Jul-1947,1947.0,Provoked,USA,California,"Santa Monica, Los Angeles County",fishing,provoked incident,No,,a small shark,"Santa Monica, Los Angeles County,California,USA",34.0204568,-118.4956771
2136,Reported 24-Jul-1947,1947.0,Unprovoked,AUSTRALIA,Northern Territory,Darwin Harbour,diving,suit ripped,No,,"most likely, a small shark","Darwin Harbour,Northern Territory,AUSTRALIA",-12.4301775,130.79131989045456
2137,15-Jul-1947,1947.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",swimming,right thigh lacerated,No,Morning,,"North Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.8467091,31.035285842256584
2138,16-Jun-1947,1947.0,Boating,AUSTRALIA,New South Wales,Coogee,fishing,"no injury to occupants, shark bumped & lifted dinghy",No,,"tiger shark, 14'","Coogee,New South Wales,AUSTRALIA",-33.9217004,151.2557975
2139,20-Apr-1947,1947.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",other,ankle & shin lacerated,No,12h00,"1.5 m, 45-kg shark","Country Club Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.829354,31.0368231
2140,11-Apr-1947,1947.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Rocket Hut Beach, Durban",surfing,"thigh severely lacerated, shin & calf lacerated",No,17h30,,"Rocket Hut Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.7926422,31.0477719
2141,06-Apr-1947,1947.0,Unprovoked,AUSTRALIA,New South Wales,Palm Beach,surfing,"no injury, board scraped by shark",No,,,"Palm Beach,New South Wales,AUSTRALIA",-33.6005473,151.3231536
2142,12-Mar-1947,1947.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",walking,"hip abraded, right calf severely lacerated",No,16h10,,"Country Club Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.829354,31.0368231
2143,09-Mar-1947,1947.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",other,lacerations on buttock  &  right foot,No,12h00,"blacktip shark, 2 m [6.75']","Country Club Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.829354,31.0368231
2144,23-Feb-1947,1947.0,Boating,AUSTRALIA,Queensland,Palm Beach,fishing,"no injury, shark holed boat",No,,,"Palm Beach,Queensland,AUSTRALIA",-28.1194259,153.4702686
2145,Reported 06-Feb-1947,1947.0,Provoked,BAHAMAS,New Providence Island,Cable Beach,other,arm bitten provoked incident,No,,5' shark,"Cable Beach,New Providence Island,BAHAMAS",25.07811975,-77.41081218966869
2146,Feb-1947,1947.0,Unprovoked,BRAZIL,Rio de Janeiro,Copacabana,other,fatal,Yes,,,"Copacabana,Rio de Janeiro,BRAZIL",-22.971974,-43.1842997
2147,05-Jan-1947,1947.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",other,flexed left leg lacerated,No,15h50,>1.6 m shark,"Country Club Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.829354,31.0368231
2148,28-Dec-1946,1946.0,Unprovoked,AUSTRALIA,South Australia,Glenelg,swimming,"forearm & fingers lacerated, teethmarks on wood",No,,,"Glenelg,South Australia,AUSTRALIA",-34.9803673,138.5143342
2149,Reported 24-Dec-1946,1946.0,Boating,AUSTRALIA,Queensland,"Auckland Creek, Gladstone",other,shark jumped into cockpit,No,,7' shark,"Auckland Creek, Gladstone,Queensland,AUSTRALIA",-23.8621041,151.233363
2150,28-Jun-1946,1946.0,Unprovoked,INDIA,,Chennai,other,"""serious injuries""",No,,,"Chennai,nan,INDIA",13.0836939,80.270186
2151,19-Apr-1946,1946.0,Unprovoked,AUSTRALIA,Queensland,"Trinity Beach, Cairns",swimming,fatal,Yes,13h30,,"Trinity Beach, Cairns,Queensland,AUSTRALIA",-16.7924771,145.6949167
2152,20-Mar-1946,1946.0,Boating,AUSTRALIA,South Australia,Grange,fishing,"no injury; shark rammed boat, catapulting leverenz in the sea & damaging boat",No,19h00,,"Grange,South Australia,AUSTRALIA",-34.8991361,138.498079
2153,16-Feb-1946,1946.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",other,right arm severely lacerated,No,16h00,,"South Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.8620274,31.037410200593246
2154,10-Feb-1946,1946.0,Unprovoked,AUSTRALIA,Western Australia,"City Beach, Perth",other,"leg bitten, surgically amputated",No,12h15,"white shark, 4.2 m [13'9""]","City Beach, Perth,Western Australia,AUSTRALIA",-31.9526438,115.8587898
2155,10-Feb-1946,1946.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",swimming,flexed right  knee bitten,No,09h15,,"Battery Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.8386571,31.036553323472702
2156,24-Jan-1946,1946.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",other,knee & calf lacerated,No,17h15,,"Battery Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.8386571,31.036553323472702
2157,24-Jan-1946,1946.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",swimming,foot severely lacerated,No,Afternoon,,"Battery Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.8386571,31.036553323472702
2158,17-Jan-1946,1946.0,Unprovoked,AUSTRALIA,Queensland,Townsville,other,ankle bitten,No,,small shark,"Townsville,Queensland,AUSTRALIA",-19.2569391,146.8239537
